Species,Scientific,Link
Greater White-fronted Goose,Anser albifrons,https://ebird.org/species/gwfgoo
Cackling Goose,Branta hutchinsii,https://ebird.org/species/cacgoo1
Canada Goose,Branta canadensis,https://ebird.org/species/cangoo
Cackling/Canada Goose,Branta hutchinsii/canadensis,https://ebird.org/species/cacgoc
Mountain Quail,Oreortyx pictus,https://ebird.org/species/mouqua
California Quail,Callipepla californica,https://ebird.org/species/calqua
Wild Turkey,Meleagris gallopavo,https://ebird.org/species/wiltur
Rock Pigeon,Columba livia,https://ebird.org/species/rocpig
Band-tailed Pigeon,Patagioenas fasciata,https://ebird.org/species/batpig
Eurasian Collared-Dove,Streptopelia decaocto,https://ebird.org/species/eucdov
Mourning Dove,Zenaida macroura,https://ebird.org/species/moudov
Vaux's Swift,Chaetura vauxi,https://ebird.org/species/vauswi
Anna's Hummingbird,Calypte anna,https://ebird.org/species/annhum
Calliope Hummingbird,Selasphorus calliope,https://ebird.org/species/calhum
Rufous Hummingbird,Selasphorus rufus,https://ebird.org/species/rufhum
Killdeer,Charadrius vociferus,https://ebird.org/species/killde
Turkey Vulture,Cathartes aura,https://ebird.org/species/turvul
Osprey,Pandion haliaetus,https://ebird.org/species/osprey
Sharp-shinned Hawk,Accipiter striatus,https://ebird.org/species/shshaw
Cooper's Hawk,Astur cooperii,https://ebird.org/species/coohaw
Northern Harrier,Circus hudsonius,https://ebird.org/species/norhar2
Bald Eagle,Haliaeetus leucocephalus,https://ebird.org/species/baleag
Red-shouldered Hawk,Buteo lineatus,https://ebird.org/species/reshaw
Red-tailed Hawk,Buteo jamaicensis,https://ebird.org/species/rethaw
Red-breasted Sapsucker,Sphyrapicus ruber,https://ebird.org/species/rebsap
Acorn Woodpecker,Melanerpes formicivorus,https://ebird.org/species/acowoo
Downy Woodpecker,Dryobates pubescens,https://ebird.org/species/dowwoo
Hairy Woodpecker,Leuconotopicus villosus,https://ebird.org/species/haiwoo
Pileated Woodpecker,Dryocopus pileatus,https://ebird.org/species/pilwoo
Northern Flicker,Colaptes auratus,https://ebird.org/species/norfli
Peregrine Falcon,Falco peregrinus,https://ebird.org/species/perfal
Olive-sided Flycatcher,Contopus cooperi,https://ebird.org/species/olsfly
Western Wood-Pewee,Contopus sordidulus,https://ebird.org/species/wewpew
Hammond's Flycatcher,Empidonax hammondii,https://ebird.org/species/hamfly
Dusky Flycatcher,Empidonax oberholseri,https://ebird.org/species/dusfly
Western Flycatcher,Empidonax difficilis,https://ebird.org/species/wesfly
Hutton's Vireo,Vireo huttoni,https://ebird.org/species/hutvir
Cassin's Vireo,Vireo cassinii,https://ebird.org/species/casvir
Western Warbling Vireo,Vireo swainsoni,https://ebird.org/species/warvir
Steller's Jay,Cyanocitta stelleri,https://ebird.org/species/stejay
California Scrub-Jay,Aphelocoma californica,https://ebird.org/species/casjay
American Crow,Corvus brachyrhynchos,https://ebird.org/species/amecro
Common Raven,Corvus corax,https://ebird.org/species/comrav
Black-capped Chickadee,Poecile atricapillus,https://ebird.org/species/bcchic
Chestnut-backed Chickadee,Poecile rufescens,https://ebird.org/species/chbchic
Tree Swallow,Tachycineta bicolor,https://ebird.org/species/treswa
Violet-green Swallow,Tachycineta thalassina,https://ebird.org/species/vigswa
Tree/Violet-green Swallow,Tachycineta bicolor/thalassina,https://ebird.org/species/tavgsw
Purple Martin,Progne subis,https://ebird.org/species/purmar
Bushtit,Psaltriparus minimus,https://ebird.org/species/bushti
Wrentit,Chamaea fasciata,https://ebird.org/species/wrenti
Ruby-crowned Kinglet,Corthylio calendula,https://ebird.org/species/ruckin
Golden-crowned Kinglet,Regulus satrapa,https://ebird.org/species/gockin
White-breasted Nuthatch,Sitta carolinensis,https://ebird.org/species/wbnuth
Red-breasted Nuthatch,Sitta canadensis,https://ebird.org/species/rbnuth
Brown Creeper,Certhia americana,https://ebird.org/species/brncre
Northern House Wren,Troglodytes aedon,https://ebird.org/species/houwre
Pacific Wren,Troglodytes pacificus,https://ebird.org/species/pacwre
Bewick's Wren,Thryomanes bewickii,https://ebird.org/species/bewwre
European Starling,Sturnus vulgaris,https://ebird.org/species/eursta
Western Bluebird,Sialia mexicana,https://ebird.org/species/wesblu
Swainson's Thrush,Catharus ustulatus,https://ebird.org/species/swathr
Hermit Thrush,Catharus guttatus,https://ebird.org/species/herthr
American Robin,Turdus migratorius,https://ebird.org/species/amerob
Cedar Waxwing,Bombycilla cedrorum,https://ebird.org/species/cedwax
Evening Grosbeak,Hesperiphona vespertina,https://ebird.org/species/evegro
House Finch,Haemorhous mexicanus,https://ebird.org/species/houfin
Purple Finch,Haemorhous purpureus,https://ebird.org/species/purfin
Red Crossbill,Loxia curvirostra,https://ebird.org/species/redcro
Pine Siskin,Spinus pinus,https://ebird.org/species/pinsis
Lesser Goldfinch,Spinus psaltria,https://ebird.org/species/lesgol
American Goldfinch,Spinus tristis,https://ebird.org/species/amegof
Chipping Sparrow,Spizella passerina,https://ebird.org/species/chispa
Fox Sparrow,Passerella iliaca,https://ebird.org/species/foxspa
Dark-eyed Junco,Junco hyemalis,https://ebird.org/species/daejun
White-crowned Sparrow,Zonotrichia leucophrys,https://ebird.org/species/whcspa
Golden-crowned Sparrow,Zonotrichia atricapilla,https://ebird.org/species/gocspa
White-throated Sparrow,Zonotrichia albicollis,https://ebird.org/species/whtspa
Song Sparrow,Melospiza melodia,https://ebird.org/species/sonspa
Lincoln's Sparrow,Melospiza lincolnii,https://ebird.org/species/linspa
Swamp Sparrow,Melospiza georgiana,https://ebird.org/species/swaspa
Spotted Towhee,Pipilo maculatus,https://ebird.org/species/spotow
Brown-headed Cowbird,Molothrus ater,https://ebird.org/species/bnhcow
Orange-crowned Warbler,Leiothlypis celata,https://ebird.org/species/orcwar
Nashville Warbler,Leiothlypis ruficapilla,https://ebird.org/species/naswar
MacGillivray's Warbler,Geothlypis tolmiei,https://ebird.org/species/macwar
Common Yellowthroat,Geothlypis trichas,https://ebird.org/species/comyel
Northern Yellow Warbler,Setophaga aestiva,https://ebird.org/species/yelwar
Yellow-rumped Warbler,Setophaga coronata,https://ebird.org/species/yerwar
Black-throated Gray Warbler,Setophaga nigrescens,https://ebird.org/species/btywar
Townsend's Warbler,Setophaga townsendi,https://ebird.org/species/towwar
Wilson's Warbler,Cardellina pusilla,https://ebird.org/species/wilwar
Western Tanager,Piranga ludoviciana,https://ebird.org/species/westan
Black-headed Grosbeak,Pheucticus melanocephalus,https://ebird.org/species/bhgros
Lazuli Bunting,Passerina amoena,https://ebird.org/species/lazbun